condition,ended_time_weekday,ended_time_weekend,seller_country,seller_feedback_pct,seller_feedback_positive,seller_feedback_neutral,seller_feedback_negative,seller_member_duration,num_bidders,bids,duration,hasItemDesc
Used,2,0,Australia,100.0,4,0,0,34,4,8,7,0
Used,1,0,United States,100.0,2,0,0,2281,3,6,5,0
Used,3,0,United States,100.0,17,0,0,2054,10,24,5,0
Used,4,0,United States,100.0,3,0,0,5324,9,19,7,0
Used,6,1,United States,100.0,68,0,0,407,8,21,1,0
Used,0,0,United Kingdom,100.0,112,1,0,3191,5,12,7,0
Used,0,0,Australia,97.2,37,0,1,5943,7,14,7,0
Used,5,1,United States,100.0,9,0,0,4221,11,18,3,0
Used,2,0,United Kingdom,100.0,5,0,0,4413,26,49,3,0
New,5,1,United Kingdom,100.0,9,0,0,1817,7,21,7,0
Used,5,1,United States,100.0,78,0,0,6814,4,4,5,0
Used,4,0,United States,100.0,3,0,0,2192,11,21,10,0
Used,0,0,United Kingdom,100.0,82,1,0,1007,15,29,7,0
